name,price,owner,driven km,transmission,fuel,body type,mileage,engine cc,max power bhp,wheel size inches,no of seats
Hyundai i10 Magna 1.1 LPG 2012,"₹ 3,75,000",First Owner,44191 Km,Manual,Petrol + LPG,Hatchback,19.81 kmpl,1086 cc,68 bhp,13 Inch,5 Seater
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT 2020,"₹ 8,60,000",First Owner,3500 Km,Automated Manual Transmission,Petrol,Hatchback,20.7 kmpl,1197cc,81 bhp,14 Inches,5 Seater
BMW 5 Series 530d M Sport 2017,"₹ 42,00,000",Third Owner,25000 Km,Automatic,Diesel,Sedan,14.69 kmpl,2993 cc,258 bhp,18'',5 Seater
Maruti Suzuki Baleno Delta 1.2 2018,"₹ 5,25,000",First Owner,42000 Km,Manual,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Maruti Suzuki Swift VXi 1.2 ABS BS IV 2016,"₹ 4,25,000",First Owner,58000 Km,Manual,Petrol,Hatchback,12 kmpl,1197 cc,85,14 Inch,5 Seater
Maruti Suzuki Swift VDi 2014,"₹ 5,50,000",First Owner,81205 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Maruti Suzuki Swift VDi 2013,"₹ 3,50,000",First Owner,85000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Hyundai Xcent S 1.1 CRDi 2014,"₹ 4,00,000",First Owner,61000 Km,Manual,Diesel,Sedan,24.4 kmpl,1120,71 bhp,14 inch,5 Seater
BMW X5 XDrive 30d 2015,"₹ 40,50,000",First Owner,40181 Km,Automatic,Diesel,SUV,15.3,2993,258bhp,18 Inch,5 Seater
Tata Safari Storme 2.2 LX 4x2 2013,"₹ 6,50,000",First Owner,110000 Km,Manual,Diesel,SUV,13.49 kmpl,2179cc,140 bhp,16 Inch,5 Seater
Maruti Suzuki Alto LXi 2009,"₹ 1,39,050",Second Owner,65000 Km,Manual,Petrol,Hatchback,19.7 kmpl,796 cc,47 bhp,12 Inch,5 Seater
Maruti Suzuki Baleno Delta 1.2 2016,"₹ 5,04,700",First Owner,53434 Km,Manual,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Maruti Suzuki Wagon R LXi 2008,"₹ 1,23,600",Second Owner,70585 Km,Manual,Petrol,Hatchback,20.5 kmpl,998 cc,67 bhp,13 Inch,5 Seater
Fiat Punto Emotion 90HP 2012,"₹ 3,20,000",First Owner,99740 Km,Manual,Diesel,Hatchback,20.5 kmpl,1248 cc,90 bhp,15 Inch,5 Seater
SKODA SUPERB Elegance 1.8 TSI AT 2013,"₹ 5,50,000",First Owner,63000 Km,Automatic,Petrol,Sedan,13.7 kmpl,1798 cc,158 bhp,16 Inch,5 Seater
Skoda Laura ELEGANCE 2.0 TDI CR MT 2013,"₹ 4,50,000",First Owner,111500 Km,Manual,Diesel,Sedan,20 kmpl,1968 cc,138 bhp,15 Inch,5 Seater
Renault Duster 110 PS RXZ 2014,"₹ 4,85,000",First Owner,74000 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Renault Duster 110 PS RXZ 2013,"₹ 5,70,000",First Owner,80535 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Nissan Sunny XL CVT AT 2012,"₹ 4,45,000",First Owner,58000 Km,Automatic,Diesel,Sedan,16.9 kmpl,1498 cc,98 bhp,15 Inch,5 Seater
Volkswagen Vento Highline Diesel 2013,"₹ 5,20,000",First Owner,65301 Km,Manual,Diesel,Sedan,20.5 kmpl,1598 cc,103 bhp,15 inches,5 Seater
Volkswagen Vento Highline Petrol AT 2010,"₹ 3,25,000",First Owner,58000 Km,Automatic,Petrol,Sedan,18.19 kmpl,1197 cc,103 bhp,15 inches,5 Seater
Mahindra XUV500 W8 4WD 2015,"₹ 8,50,000",First Owner,95000 Km,Manual,Diesel,SUV,14 kmpl,2179 cc,140 bhp,17 Inch,5 Seater
Hyundai Elite i20 Sportz Plus 1.2 2019,"₹ 7,26,448",First Owner,27854 Km,Automatic,Petrol,Hatchback,18.6 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Hyundai Santro Xing XO ERLX EURO III 2005,"₹ 1,75,000",First Owner,59000 Km,Manual,Petrol,Hatchback,12.8 kmpl,1086cc,63PS,13 Inch,5 Seater
Maruti Suzuki Ignis Zeta 1.2 MT 2018,"₹ 5,85,000",First Owner,47506 Km,Manual,Petrol,Hatchback,20.89 kmpl,1197 cc,82 bhp,"15""",5 Seater
Toyota Fortuner TRD Sportivo 2017,"₹ 27,00,000",First Owner,40000 Km,Manual,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,17Inch,7 Seater
Toyota Fortuner 3.0 4X4 MT 2009,"₹ 9,25,000",First Owner,131000 Km,Manual,Diesel,SUV,11.9 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Toyota Corolla Altis 1.8 VL AT 2015,"₹ 9,95,000",Second Owner,49000 Km,Automatic,Petrol,Sedan,15.23 kmpl,1798 cc,138 bhp,15 Inch,5 Seater
Toyota Innova Crysta 2.4 VX 7 STR 2018,"₹ 17,75,000",First Owner,63000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Maruti Suzuki Baleno Delta 1.2 2019,"₹ 6,00,000",First Owner,18000 Km,Manual,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Maruti Suzuki Swift DZire LDi 2019,"₹ 6,25,000",First Owner,47000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Swift LXi Opt 2015,"₹ 4,25,000",First Owner,46593 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Ford EcoSport Ambiente 1.5L TDCi 2017,"₹ 6,98,888",First Owner,16000 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Mercedes-Benz GLC 300 2016,"₹ 34,00,000",Second Owner,58000 Km,Automatic,Petrol,SUV,11.5kmpl,1991 cc,241 bhp,18'',5 Seater
Land Rover Range Rover Evoque HSE 2017,"₹ 39,50,000",First Owner,40000 Km,Automatic,Diesel,SUV,15.68kmpl,1999 cc,177bhp,17 Inch,5 Seater
Land Rover Range Rover Evoque SE 2020,"₹ 58,00,000",First Owner,11000 Km,Automatic,Diesel,SUV,15.68kmpl,1999 cc,177bhp,17 Inch,5 Seater
BMW 5 Series 530d M Sport 2018,"₹ 59,74,000",First Owner,17000 Km,Automatic,Diesel,Sedan,14.69 kmpl,2993 cc,258 bhp,18'',5 Seater
Jaguar XE Prestige 2017,"₹ 25,49,500",Second Owner,44000 Km,Automatic,Petrol,Sedan,13.06 kmpl,1999 cc,197 bhp,17 Inch,5 Seater
Audi A6 2.8 FSI 2012,"₹ 12,00,000",Second Owner,65000 Km,Automatic,Petrol,Sedan,10.41 kmpl,2773 cc,201 bhp,17 Inch,5 Seater
Skoda Octavia RS 2017,"₹ 24,75,000",First Owner,26000 Km,Automatic,Petrol,Sedan,14.1 kmpl,1984 cc,227bhp,17 Inch,5 Seater
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT 2014,"₹ 4,78,950",First Owner,32806 Km,Automatic,Petrol,Hatchback,18.9 kmpl,1197 cc,81 bhp,14,5 Seater
Maruti Suzuki Ciaz Vdi 2017,"₹ 6,75,000",First Owner,45000 Km,Manual,Diesel,Sedan,28 kmpl,1248 cc,88.5bhp,15 inch,5 Seater
Toyota Corolla Altis G DIESEL 2015,"₹ 9,00,000",First Owner,140000 Km,Manual,Diesel,Sedan,21.45 kmpl,1364 cc,87 bhp,15 Inch,5 Seater
Datsun Go Plus T 2015,"₹ 2,69,991",First Owner,48723 Km,Manual,Petrol,MUV,20.6 kmpl,1198 cc,67 bhp,13,7 Seater
Tata Bolt XE Petrol 2015,"₹ 2,29,991",First Owner,46311 Km,Manual,Petrol,Hatchback,17.57,1193cc,89,14 Inch,5 Seater
Hyundai Santro SPORTZ 2019,"₹ 5,30,000",First Owner,9102 Km,Manual,Petrol,Hatchback,20.3 kmpl,1086 cc,68 bhp,13 Inches,5 Seater
Honda Civic 1.8 S MT 2007,"₹ 1,84,500",Second Owner,50000 Km,Manual,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 inch,5 Seater
Hyundai Elite i20 Asta 1.4 CRDi 2017,"₹ 5,90,000",First Owner,68000 Km,Manual,Diesel,Hatchback,22.54 kmpl,1396 cc,89 bhp,16 Inch,5 Seater
Hyundai Creta 1.6 SX Diesel 2019,"₹ 10,66,050",First Owner,50587 Km,Manual,Diesel,SUV,19.67 kmpl,1582 cc,126 bhp,16 Inches,5 Seater
Toyota Innova Crysta 2.4 ZX 7 STR 2016,"₹ 15,75,000",Second Owner,63000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,17 inch,7 Seater
Ford EcoSport TITANIUM 1.5 TI VCT AT 2016,"₹ 7,40,000",First Owner,53001 Km,Automatic,Petrol,SUV,18.88 kmpl,1499 cc,110,"15""",5 Seater
Hyundai i20 ASTA 1.4 2009,"₹ 2,50,000",Second Owner,70000 Km,Manual,Petrol,Hatchback,18.60 kmpl,1368 cc,98.5bhp,14 Inch,5 Seater
Honda BR-V VX Petrol 2020,"₹ 12,50,000",First Owner,950 Km,Manual,Petrol,SUV,15.4,1497 cc,117 bhp,16,7 Seater
Renault Duster 110 PS RXL 2014,"₹ 3,90,000",Second Owner,62875 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Honda Brio EX MT 2012,"₹ 2,19,000",First Owner,46625 Km,Manual,Petrol,Hatchback,18.9 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
Maruti Suzuki Swift DZire VDi 2012,"₹ 3,65,000",First Owner,47500 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Honda WR-V VX Petrol 2018,"₹ 7,65,000",First Owner,54400 Km,Manual,Petrol,Crossover,17.5 kmpl,1199 cc,88.7bhp,16 Inch,5 Seater
Hyundai Santro Xing GLS AT 2008,"₹ 1,74,000",Third Owner,62000 Km,Automatic,Petrol,Hatchback,12.8 kmpl,1086cc,63PS,13 Inch,5 Seater
Hyundai Creta 1.6 SX+ Petrol 2017,"₹ 11,79,500",First Owner,38000 Km,Manual,Petrol,SUV,15.29 kmpl,1591 cc,122 bhp,16 Inch,5 Seater
Renault Duster RXS Petrol Opt CVT 2019,"₹ 11,58,750",First Owner,9000 Km,Manual,Petrol,SUV,13.6 kmpl,1498 cc,105 bhp,16 Inches,5 Seater
Toyota Corolla Altis 1.8 G 2018,"₹ 9,80,000",Third Owner,32878 Km,Manual,Petrol,Sedan,15.23 kmpl,1798 cc,138 bhp,15 Inch,5 Seater
Skoda Rapid 1.6 MPI AMBITION AT 2012,"₹ 2,60,000",Third Owner,40000 Km,Automatic,Petrol,Sedan,14.84 kmpl,1598 cc,104 bhp,15 Inch,5 Seater
BMW 3 Series 320d 2011,"₹ 8,25,000",Third Owner,117000 Km,Automatic,Diesel,Sedan,9.7 kmpl,1995 cc,184 bhp,16,5 Seater
Maruti Suzuki Wagon R LXi CNG 2010,"₹ 1,53,470",First Owner,72000 Km,Manual,Petrol + CNG,Hatchback,26.6 Kmpl,998 cc,58.16bhp,13,5 Seater
Maruti Suzuki ALTO 800 LXi 2013,"₹ 2,85,000",First Owner,39447 Km,Manual,Petrol,Hatchback,24.7 kmpl,796cc,48 bhp,12 Inch,5 Seater
Maruti Suzuki Swift VDi ABS 2014,"₹ 2,80,000",Second Owner,100000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
MG Hector Sharp 2.0 Diesel 2021,"₹ 21,12,000",First Owner,19857 Km,Manual,Diesel,SUV,17.41 kmpl,1956 cc,169 bhp,17 inches,5 Seater
MG Hector Sharp Hybrid 1.5 Petrol 2020,"₹ 18,31,000",First Owner,19857 Km,Manual,Hybrid,SUV,15.81 kmpl,1451 cc,141 bhp,17 Inches,5 Seater
Maruti Suzuki Vitara Brezza ZXi BS6 2020,"₹ 9,81,000",First Owner,19652 Km,Manual,Petrol,SUV,17.03 kmpl,1462 cc,103 bhp,16 inch,5 Seater
Maruti Suzuki Dzire VXi 2017,"₹ 6,25,000",First Owner,22000 Km,Manual,Petrol,Sedan,22 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Mahindra TUV300 T8 2015,"₹ 5,50,000",First Owner,52000 Km,Manual,Diesel,SUV,18.49 Kmpl,1493 cc,84bhp,15 Inch,5 Seater
Hyundai Creta 1.6 SX+ AT Diesel 2017,"₹ 10,25,000",First Owner,45000 Km,Automatic,Diesel,SUV,17.1 kmpl,1582 cc,126 bhp,17 Inch,5 Seater
Hyundai Accent CRDi 2003,"₹ 1,10,000",Second Owner,107000 Km,Manual,Diesel,Sedan,13.3 kmpl,1493 cc,82Bhp,13 Inch,5 Seater
Hyundai Elite i20 Magna 1.2 2016,"₹ 5,16,000",First Owner,67821 Km,Manual,Petrol,Hatchback,18.6 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Mahindra Xylo D2 BS IV 2012,"₹ 3,61,530",First Owner,80000 Km,Manual,Diesel,MUV,14 kmpl,2498 cc,95 bhp,15 Inch,5 Seater
Mahindra Scorpio SLE BS IV 2011,"₹ 4,35,000",First Owner,178000 Km,Manual,Diesel,SUV,15.4 kmpl,2179 cc,120 bhp,17 Inch,5 Seater
Hyundai Verna TRANSFORM 1.6 VTVT 2011,"₹ 2,35,000",First Owner,48000 Km,Manual,Petrol,Sedan,11.8 kmpl,1599 cc,103Bhp,14 inch,5 Seater
Hyundai i10 Asta 1.2 AT With Sunroof 2011,"₹ 3,20,451",First Owner,46016 Km,Automatic,Petrol,Hatchback,12.8 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Hyundai i10 Sportz 1.2 2010,"₹ 2,16,500",First Owner,84501 Km,Manual,Petrol,Hatchback,20 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Skoda Octavia AMBIENTE 1.9 TDI 2008,"₹ 1,70,000",Sixth Owner,235000 Km,Manual,Diesel,Sedan,13.94 kmpl,1896 cc,90,15 Inch,5 Seater
Datsun GO T 2015,"₹ 2,60,000",Second Owner,50800 Km,Manual,Petrol,Hatchback,20.6 kmpl,1198 cc,67 bhp,13,5 Seater
Hyundai i10 Sportz 1.2 AT 2011,"₹ 2,70,000",First Owner,82000 Km,Automatic,Petrol,Hatchback,17 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Hyundai i20 SPORTZ 1.2 BS IV 2015,"₹ 4,19,000",First Owner,16000 Km,Manual,Petrol,Hatchback,12.4 kmpl,1197 cc,80Bhp,14 Inch,5 Seater
Hyundai Elite i20 Magna Executive 1.2 2018,"₹ 6,00,000",Second Owner,33400 Km,Manual,Petrol,Hatchback,18.6 kmpl,1197 cc,82 bhp,14 inch,5 Seater
Honda Civic 1.8 V AT 2010,"₹ 3,50,000",Second Owner,56000 Km,Automatic,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 inch,5 Seater
Honda Brio S MT 2012,"₹ 3,00,000",First Owner,44000 Km,Manual,Petrol,Hatchback,18.9 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
Toyota Innova Crysta 2.4 G 7 STR 2019,"₹ 17,00,000",First Owner,45000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Maruti Suzuki Swift Dzire ZDi BS-IV 2015,"₹ 5,26,000",First Owner,68000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Swift Dzire ZDi BS-IV 2015,"₹ 5,49,000",First Owner,18000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Fiat Linea EMOTION 1.4 2010,"₹ 2,70,000",Second Owner,58000 Km,Manual,Petrol,Sedan,10.5 kmpl,1368 cc,90,15 inch,5 Seater
Toyota Innova 2.5 G4 7 STR 2007,"₹ 4,00,000",Third Owner,120000 Km,Manual,Diesel,MUV,11.4 kmpl,2494cc,102,15 Inch,5 Seater
Ford Freestyle Titanium 1.5 TDCi 2019,"₹ 7,70,000",First Owner,16000 Km,Manual,Diesel,Hatchback,24.4 kmpl,1498 cc,99 bhp,15 Inches,5 Seater
Maruti Suzuki Ciaz Alpha 1.4 MT 2017,"₹ 6,80,000",Second Owner,38000 Km,Manual,Petrol,Sedan,20.73 kmpl,1373 cc,91 bhp,16 Inch,5 Seater
Hyundai i10 Era 2011,"₹ 2,55,000",Second Owner,73000 Km,Manual,Petrol,Hatchback,19.81 kmpl,1086 cc,68 bhp,13 Inch,5 Seater
SKODA SUPERB Elegance 1.8 TSI MT 2010,"₹ 4,30,000",Fourth Owner,63000 Km,Manual,Petrol,Sedan,13.7 kmpl,1798 cc,158 bhp,16 Inch,5 Seater
Maruti Suzuki S-Cross Delta 1.6 2015,"₹ 6,50,000",First Owner,60000 Km,Manual,Diesel,Crossover,22.07 kmpl,1598 cc,118 bhp,16 Inch,5 Seater
Volkswagen Polo Highline 1.5L (D) 2014,"₹ 4,50,000",First Owner,65000 Km,Manual,Diesel,Hatchback,20 Kmpl,1498 cc,89 bhp,15'',5 Seater
Mahindra Marazzo M2 7 STR 2019,"₹ 9,00,000",First Owner,64531 Km,Manual,Diesel,MUV,17.6 kmpl,1497 cc,121 bhp,16 Inches,7 Seater
Toyota Innova Crysta 2.4 G 7 STR 2016,"₹ 13,60,000",First Owner,26524 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Fortuner Sigma 4 2019,"₹ 36,70,346",First Owner,42710 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Hyundai Verna SX 2013,"₹ 4,16,000",First Owner,2400 Km,Manual,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Honda Amaze 1.5 SX i-DTEC 2014,"₹ 4,85,000",First Owner,57000 Km,Manual,Diesel,Sedan,25.8 kmpl,1498 cc,99 bhp,14,5 Seater
Maruti Suzuki Alto K10 VXi 2010,"₹ 2,00,000",First Owner,11000 Km,Manual,Petrol,Hatchback,24.07 kmpl,998 cc,67 bhp,13 inch,5 Seater
Maruti Suzuki Ritz VDI BS IV 2011,"₹ 2,85,000",First Owner,78000 Km,Manual,Diesel,Hatchback,23.2kmpl,1248 cc,73 bhp,14 Inch,5 Seater
Tata Indica Vista LS TDI BS III 2013,"₹ 2,30,000",First Owner,80000 Km,Manual,Diesel,Hatchback,17kmpl,1248 cc,75 bhp,13 Inch,5 Seater
Hyundai i10 Era 2010,"₹ 1,90,000",Second Owner,41000 Km,Manual,Petrol,Hatchback,20 kmpl,1086 cc,67 bhp,13 Inch,5 Seater
Maruti Suzuki Swift VXi 1.2 BS IV 2010,"₹ 2,50,000",First Owner,71000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Toyota Innova Crysta 2.7 VX 7 STR 2019,"₹ 20,00,000",First Owner,65000 Km,Manual,Petrol,MUV,15.1 kmpl,2694 cc,164 bhp,17'',7 Seater
Maruti Suzuki Swift VXi 1.3 2010,"₹ 2,50,000",Second Owner,59000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Nissan Micra XV PETROL 2015,"₹ 3,75,000",First Owner,52716 Km,Manual,Petrol,Hatchback,23.08kmpl,1198,63.1bhp,14 Inch,5 Seater
Honda Amaze 1.5 VX i-DTEC 2014,"₹ 4,35,000",First Owner,72000 Km,Manual,Diesel,Sedan,25.8 kmpl,1498 cc,99 bhp,14 Inch,5 Seater
Maruti Suzuki Swift ZXi 1.2 BS IV 2010,"₹ 2,45,000",First Owner,60000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Swift VXi ABS 2009,"₹ 2,21,450",Second Owner,71000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Swift LXi 2009,"₹ 2,15,064",Second Owner,74051 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Swift LXi 2008,"₹ 1,65,014",Third Owner,68014 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Wagon R LXi CNG 2016,"₹ 3,90,000",First Owner,750000 Km,Manual,Petrol + CNG,Hatchback,26.6 Kmpl,998 cc,58.16bhp,13,5 Seater
Tata Zest Quadrajet 1.3 90PS XTA Diesel 2015,"₹ 4,94,950",First Owner,55468 Km,Automatic,Diesel,Sedan,21.58,1248,88.7bhp,15 Inch,5 Seater
Honda City V CVT i-VTEC 2018,"₹ 9,00,000",Second Owner,22011 Km,Automatic,Petrol,Sedan,18 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Honda City V i-DTEC 2014,"₹ 6,00,000",First Owner,118000 Km,Manual,Diesel,Sedan,26 kmpl,1498 cc,99 bhp,15 inch,5 Seater
Honda Mobilio S i-VTEC 2014,"₹ 4,45,000",First Owner,43500 Km,Manual,Petrol,MUV,17.3 kmpl,1497 cc,118 bhp,15 inch,7 Seater
Honda Amaze 1.5 VX i-DTEC 2013,"₹ 3,20,000",Second Owner,52000 Km,Manual,Diesel,Sedan,25.8 kmpl,1498 cc,99 bhp,14 Inch,5 Seater
Maruti Suzuki Ritz VDi 2012,"₹ 2,75,000",First Owner,65400 Km,Manual,Diesel,Hatchback,23.2 kmpl,1248 cc,73.94bhp,14 inch,5 Seater
Hyundai i20 Sportz 1.2 2017,"₹ 5,28,000",First Owner,13000 Km,Manual,Petrol,Hatchback,12.4 kmpl,1197 cc,80Bhp,14 Inch,5 Seater
Hyundai Verna 1.6 CRDI SX 2013,"₹ 4,25,000",Second Owner,70000 Km,Manual,Diesel,Sedan,24 kmpl,1582 cc,126 bhp,16 Inch,5 Seater
Tata Indica Vista LS 2011,"₹ 1,70,000",Second Owner,110000 Km,Manual,Diesel,Hatchback,17kmpl,1248 cc,75 bhp,13 Inch,5 Seater
Ford Fiesta 1.4 Duratorq TDCI 2010,"₹ 2,21,000",Second Owner,75000 Km,Manual,Diesel,Sedan,25.01 kmpl,1498 cc,89.75bhp,15 Inch,5 Seater
Toyota Innova Crysta 2.8 ZX AT 7 STR 2019,"₹ 20,00,000",First Owner,19857 Km,Automatic,Diesel,MUV,14.29 kmpl,2755 cc,172 bhp,17 inch,7 Seater
Ford EcoSport Titanium + 1.5L Ti-VCT AT 2018,"₹ 8,35,000",First Owner,31000 Km,Automatic,Petrol,SUV,18.88 kmpl,1499 cc,110,17 Inches,5 Seater
Hyundai i20 1.2 Asta 2010,"₹ 3,10,000",First Owner,57000 Km,Manual,Petrol,Hatchback,12.4 kmpl,1197 cc,80Bhp,14 Inch,5 Seater
Toyota Glanza G 2020,"₹ 7,56,000",First Owner,12365 Km,Manual,Petrol,Hatchback,21.01 kmpl,1197 cc,88 bhp,16 Inches,5 Seater
Maruti Suzuki Swift Dzire VDi BS-IV 2012,"₹ 5,00,000",First Owner,60000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Swift Dzire VDi BS-IV 2013,"₹ 7,00,000",First Owner,60000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Hyundai Creta 1.6 SX Diesel 2015,"₹ 6,60,000",First Owner,60000 Km,Manual,Diesel,SUV,19.67 kmpl,1582 cc,126 bhp,16'',5 Seater
Maruti Suzuki Wagon R LXi CNG 2014,"₹ 5,00,000",First Owner,60000 Km,Manual,Petrol + CNG,Hatchback,26.6 Kmpl,998 cc,58.16bhp,13,5 Seater
Skoda Kodiaq L&K 2.0 TDI 4x4 AT 2019,"₹ 32,60,000",First Owner,25000 Km,Automatic,Diesel,SUV,16.25 kmpl,1998 cc,148 bhp,18-inch,7 Seater
Hyundai Elite i20 Sportz 1.4 CRDi 2016,"₹ 7,00,000",First Owner,50000 Km,Manual,Diesel,Hatchback,22.54 kmpl,1396 cc,89 bhp,14,5 Seater
Honda City 1.5 V AT 2013,"₹ 4,89,000",First Owner,67133 Km,Automatic,Petrol,Sedan,18 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Toyota Etios Liva GD 2013,"₹ 5,00,000",Second Owner,80000 Km,Manual,Diesel,Hatchback,23.59 Kmpl,1364 cc,67.06bhp,14 Inch,5 Seater
Mahindra XUV500 W10 AWD 2017,"₹ 15,00,000",First Owner,50000 Km,Manual,Diesel,SUV,16 kmpl,2179 cc,140 bhp,17'',7 Seater
Skoda Rapid 1.5 TDI CR Ambition 2012,"₹ 3,55,500",First Owner,82000 Km,Manual,Diesel,Sedan,21.14 kmpl,1498 cc,104 bhp,15 Inch,5 Seater
Maruti Suzuki Wagon R VXI 1.2 2019,"₹ 7,00,000",First Owner,50000 Km,Manual,Petrol,Hatchback,21.5 kmpl,1197 cc,82 bhp,14 Inches,5 Seater
Renault KWID RXT 2016,"₹ 3,04,000",First Owner,36640 Km,Manual,Petrol,Hatchback,25.17 kmpl,799 cc,53,13 Inch,5 Seater
Honda Civic 1.8 V 2007,"₹ 4,00,000",First Owner,50000 Km,Manual,Petrol,Sedan,13.9 kmpl,1498 cc,130 bhp,15 Inch,5 Seater
Hyundai Verna 1.6 VTVT SX (O) AT 2018,"₹ 11,07,000",First Owner,42150 Km,Automatic,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Hyundai i20 Active 1.4 SX 2017,"₹ 7,46,700",First Owner,52136 Km,Manual,Diesel,Crossover,21.19 kmpl,1396 cc,89 bhp,15 Inch,5 Seater
Maruti Suzuki Alto LXi 2008,"₹ 99,000",First Owner,98000 Km,Manual,Petrol,Hatchback,19.7 kmpl,796 cc,47 bhp,12 Inch,5 Seater
Honda City ZX GXi 2007,"₹ 1,50,000",First Owner,75000 Km,Manual,Petrol,Sedan,12.8 kmpl,1497 cc,78,14 Inch,5 Seater
Mercedes-Benz E-Class E 200 CGI BLUE EFFICIENCY 2016,"₹ 27,31,000",First Owner,44000 Km,Automatic,Petrol,Sedan,12.06 kmpl,1991 cc,184 bhp,17 Inch,5 Seater
Mahindra Thar CRDe 4X4 BS IV 2019,"₹ 9,55,000",First Owner,12000 Km,Manual,Diesel,SUV,13 kmpl,2498 cc,105 bhp,16 Inch,6 Seater
Toyota Fortuner Sigma 4 2017,"₹ 27,25,000",Second Owner,55000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Innova 2.5 G 2010,"₹ 6,30,000",Second Owner,93754 Km,Manual,Diesel,MUV,12.99 kmpl,2494 cc,100 bhp,15 Inch,7 Seater
Maruti Suzuki ALTO 800 LXi 2012,"₹ 2,60,000",First Owner,71000 Km,Manual,Petrol,Hatchback,24.7 kmpl,796cc,48 bhp,12 Inch,5 Seater
Ford EcoSport Trend 1.5L TDCi 2017,"₹ 7,90,000",First Owner,39055 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Maruti Suzuki ALTO 800 LXi 2015,"₹ 3,00,000",First Owner,45000 Km,Manual,Petrol,Hatchback,24.7 kmpl,796cc,48 bhp,12 Inch,5 Seater
